Step,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
590,-0.92,0.99,10.97, -0.08,-0.00,-0.11
591,-1.20,0.75,11.46, -0.15,0.03,-0.20
592,-1.16,0.40,11.34, -0.17,0.02,-0.18
593,-0.69,-0.06,10.56, -0.13,0.07,-0.13
594,-1.17,0.65,10.33, -0.16,0.09,-0.11
595,-1.36,0.85,10.88, -0.24,0.10,-0.15
596,-1.07,0.45,11.04, -0.30,0.10,-0.23
597,-1.34,0.01,11.20, -0.26,0.12,-0.13
598,-1.23,0.12,10.46, -0.21,0.09,-0.06
599,-1.59,0.49,9.82, -0.25,0.07,0.01
600,-1.68,-0.20,9.82, -0.31,0.07,0.20
601,-3.83,-1.59,10.54, -0.16,-0.14,0.27
602,-3.29,-5.35,8.84, 0.37,-0.05,-0.21
603,0.07,1.22,0.74, 0.32,-0.08,-0.54
604,0.91,0.83,0.96, 0.34,-0.09,-0.56
605,-0.06,0.48,0.93, 0.34,-0.12,-0.56
606,0.06,0.25,0.87, 0.34,-0.11,-0.54
607,-0.02,0.07,0.93, 0.35,-0.11,-0.51
608,-0.04,0.07,0.93, 0.35,-0.10,-0.51
609,-0.05,0.14,0.95, 0.35,-0.09,-0.52
610,-0.04,0.18,0.89, 0.35,-0.08,-0.53
611,-0.06,0.24,0.88, 0.35,-0.08,-0.54
612,-0.11,0.21,1.02, 0.35,-0.06,-0.55
613,-0.11,0.26,0.96, 0.35,-0.05,-0.56
614,-0.04,0.26,0.96, 0.35,-0.04,-0.58
615,-0.09,0.17,0.89, 0.36,-0.03,-0.59
616,-0.06,0.18,0.91, 0.36,-0.01,-0.61
617,-0.03,0.28,0.95, 0.37,0.01,-0.63
618,-0.03,0.17,0.92, 0.37,0.03,-0.66
619,-0.04,0.22,0.95, 0.38,0.05,-0.68
620,-0.06,0.23,1.00, 0.39,0.08,-0.72
621,-0.07,0.21,1.05, 0.39,0.10,-0.75
622,-0.08,0.23,1.02, 0.40,0.12,-0.79
623,-0.06,0.28,0.97, 0.41,0.15,-0.83
624,-0.01,0.30,1.03, 0.42,0.18,-0.87
625,-0.13,0.23,1.03, 0.43,0.22,-0.92
626,-0.02,0.33,1.02, 0.44,0.26,-0.98
627,-0.09,0.32,0.98, 0.45,0.30,-1.04
628,-0.09,0.29,1.06, 0.46,0.35,-1.10
629,-0.08,0.23,1.09, 0.47,0.39,-1.17
630,-0.06,0.29,1.09, 0.48,0.44,-1.24
631,-0.10,0.33,1.13, 0.49,0.51,-1.32
632,-0.21,0.35,1.17, 0.50,0.57,-1.41
633,-0.14,0.41,1.11, 0.51,0.65,-1.51
634,-0.17,0.23,1.15, 0.51,0.73,-1.59
635,-0.27,0.20,1.28, 0.53,0.81,-1.68
636,-0.25,0.44,1.20, 0.54,0.89,-1.79
637,-0.28,0.48,1.15, 0.54,0.98,-1.91
638,-0.53,0.47,1.32, 0.54,1.07,-2.02
639,-0.64,0.34,1.35, 0.53,1.14,-2.13
640,-0.67,0.56,1.23, 0.51,1.21,-2.24
641,-0.77,0.57,1.33, 0.46,1.28,-2.32
642,-1.08,-0.03,1.37, 0.43,1.34,-2.36
643,-0.99,0.91,1.48, 0.40,1.39,-2.44
644,-0.96,1.36,1.51, 0.29,1.47,-2.59
645,-1.42,0.31,1.52, 0.18,1.53,-2.68
646,-2.06,-0.30,1.51, 0.22,1.50,-2.59
647,-1.35,1.03,1.41, 0.22,1.53,-2.68
648,-1.82,-0.09,1.46, 0.15,1.56,-2.77
649,-2.60,-1.13,1.47, 0.26,1.51,-2.53
650,-2.26,0.01,1.40, 0.31,1.55,-2.56
651,-2.44,-0.75,1.47, 0.30,1.56,-2.51
652,-2.72,-1.45,1.54, 0.45,1.51,-2.17
653,-2.25,1.30,1.67, 0.45,1.58,-2.24
654,-2.78,-1.46,1.49, 0.42,1.57,-2.06
655,-2.98,0.91,1.56, 0.48,1.55,-1.92
656,-3.25,1.63,1.56, 0.26,1.53,-2.08
657,-3.28,-0.18,1.54, 0.13,1.47,-1.82
658,-3.46,-0.23,1.52, 0.10,1.43,-1.61
659,-3.40,-0.86,1.51, 0.10,1.39,-1.39
660,-3.67,-0.09,1.56, 0.08,1.29,-1.04
661,-3.79,-0.31,1.55, 0.05,1.21,-0.78
662,-3.70,-0.57,1.53, 0.08,1.16,-0.57
663,-4.11,-0.16,1.51, 0.09,1.06,-0.24
664,-4.13,-0.54,1.51, 0.06,0.96,0.09
665,-4.04,-1.09,1.45, 0.11,0.88,0.46
666,-4.12,-0.84,1.57, 0.17,0.78,0.89
667,-4.25,-0.72,1.49, 0.19,0.70,1.17
668,-4.52,-0.82,1.46, 0.25,0.59,1.58
669,-4.61,-0.26,1.41, 0.30,0.46,1.85
670,-4.46,-0.39,1.49, 0.37,0.36,2.05
671,-4.14,-0.61,1.48, 0.47,0.28,2.23
672,-78.45,34.49,-65.18, 4.81,-8.73,-1.91
673,-53.94,63.96,-78.45, 8.73,-8.73,-8.73
674,61.68,78.45,-78.45, 8.73,-8.73,-8.73
675,78.45,78.45,1.07, -6.25,8.73,-8.73
676,-1.38,77.55,-78.45, -8.73,1.49,-8.73
677,19.47,22.00,-78.45, -8.73,-8.73,-8.73
678,13.76,34.59,-78.45, -8.73,-8.73,-8.73
679,2.36,35.52,-78.45, 8.04,-8.73,-8.73
680,-10.96,25.82,-78.45, 8.73,-8.73,-8.73
