Step,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0,2.29,-3.96,9.92, 0.49,0.11,-0.65
1,1.91,-3.47,9.62, 0.55,0.19,-1.32
2,1.73,-0.65,10.55, 0.71,0.13,-1.92
3,0.37,1.88,11.43, 0.35,0.05,-1.27
4,1.87,0.86,11.93, -0.18,0.07,-0.52
5,1.43,-0.77,11.76, -0.64,0.03,0.25
6,-0.82,0.02,10.93, -0.84,-0.17,0.49
7,0.33,-1.19,9.43, -0.86,-0.33,0.21
8,0.65,-0.93,10.61, -0.89,-0.38,0.63
9,0.84,-3.38,8.61, -0.52,-0.29,0.48
10,1.73,-2.48,10.50, -0.05,0.20,0.10
11,2.87,-1.55,11.58, 0.13,0.57,0.05
12,2.20,-2.04,10.35, 0.06,0.59,0.05
13,1.21,-1.87,10.69, -0.45,0.30,0.82
14,-0.10,-1.51,10.69, -0.76,0.16,1.87
15,-0.23,-1.03,10.06, -1.36,0.06,1.78
16,-0.85,-1.01,8.36, -1.43,-0.24,2.40
17,-1.64,-2.92,6.59, -0.64,-0.56,2.04
18,0.28,-7.72,7.15, 0.47,-0.96,0.09
19,7.79,-6.57,16.59, 1.46,-0.09,-1.25
20,0.75,-3.55,11.36, 0.43,0.74,-1.32
21,0.00,-2.06,9.52, 0.08,0.84,-0.86
22,-0.78,-1.29,9.57, 0.15,0.51,-0.51
23,-0.04,-2.25,9.38, 0.17,-0.05,-0.43
24,0.08,-3.22,8.70, -0.02,-0.48,-0.79
25,3.90,0.71,14.55, 0.28,-0.04,-0.58
26,0.60,0.81,10.51, 0.37,0.22,0.37
27,-0.02,-2.20,9.13, 0.89,0.05,-0.65
28,0.01,-3.26,8.89, 1.13,0.11,-2.00
29,-2.04,-4.32,24.41, 0.91,-0.44,-2.10
30,-3.65,-1.08,10.22, 0.64,-0.47,0.23
31,0.91,0.19,10.24, 0.72,-0.64,-0.45
32,4.24,-0.93,11.90, 0.67,-0.45,-0.52
33,1.84,-1.26,11.74, 0.26,0.05,0.04
34,0.06,-1.91,11.00, -0.08,0.20,0.36
35,-1.52,-0.75,9.81, 0.01,-0.19,0.10
36,0.86,-0.34,10.13, 0.07,-0.34,-0.17
37,2.76,0.33,10.85, 0.12,-0.21,-0.44
38,1.76,-1.58,10.35, 0.03,-0.34,-0.06
39,0.68,-0.39,10.64, 0.08,-0.18,0.08
40,2.89,0.74,10.47, 0.05,-0.15,-0.07
41,1.40,-0.57,10.74, 0.04,0.05,0.04
42,0.52,-1.57,10.47, 0.09,0.01,0.15
43,2.98,0.28,11.22, 0.01,0.11,0.44
44,3.16,1.02,11.60, -0.21,0.43,0.01
45,0.38,-0.87,10.04, -0.13,0.46,-0.20
46,-0.60,0.16,9.50, -0.11,0.24,-0.69
47,1.89,-1.14,10.54, -0.03,0.20,-0.97
48,2.63,-0.50,11.27, 0.04,0.30,-0.36
49,1.88,-0.67,10.33, 0.09,0.47,0.48
50,-0.69,-1.30,10.22, -0.00,0.53,0.57
51,-4.32,1.24,10.36, 0.07,0.06,0.03
52,0.88,0.51,11.34, 0.16,-0.18,-0.35
53,2.12,-1.01,11.42, 0.09,0.11,0.26
54,0.47,-0.15,10.46, -0.16,0.20,0.62
55,-0.59,0.31,10.15, -0.11,-0.03,0.27
56,1.12,0.27,11.01, -0.00,-0.10,-0.02
57,0.10,-0.22,10.71, 0.06,-0.25,-0.12
58,2.07,-1.02,10.81, 0.10,-0.11,-0.14
59,1.42,-0.91,10.56, 0.21,0.12,0.09
60,0.92,-0.24,10.84, 0.17,0.20,0.51
61,2.65,-0.46,9.17, 0.36,0.12,1.81
62,3.06,-0.92,11.52, -0.04,0.08,1.37
63,-1.82,-0.14,10.10, -0.34,-0.25,1.36
64,2.58,0.47,11.65, -0.13,0.10,0.97
65,0.51,1.19,9.34, 0.26,-0.01,1.00
66,0.91,0.36,10.19, 0.03,-0.32,-0.37
67,0.55,-1.04,11.93, 0.14,-0.43,0.37
68,2.55,-0.30,10.77, -0.10,-0.02,0.78
69,1.38,-0.31,10.27, -0.19,0.13,0.61
70,1.91,2.07,10.67, -0.16,0.18,0.10
71,0.15,1.34,10.49, -0.26,-0.27,-0.31
72,1.11,-0.57,10.79, -0.25,-0.39,-0.25
73,1.55,-0.20,11.34, -0.13,-0.13,0.04
74,0.93,-0.42,10.65, -0.13,-0.02,0.38
75,1.10,-0.44,10.58, -0.13,-0.01,0.35
76,0.95,0.91,10.69, -0.20,-0.02,0.13
77,0.67,-0.36,10.63, -0.24,-0.02,-0.00
78,0.58,0.21,10.39, -0.24,-0.05,-0.30
79,4.37,3.44,12.38, -0.36,0.21,-0.32
80,0.31,-1.35,11.39, -0.30,-0.15,-0.07
81,1.05,-0.99,10.73, -0.23,0.01,0.46
82,1.68,0.53,10.98, -0.22,0.10,0.44
83,0.47,-1.07,10.62, -0.25,0.08,0.04
84,1.58,-0.29,11.16, -0.20,0.09,0.01
85,2.55,-1.29,10.47, -0.12,0.27,0.13
86,-0.30,-2.17,10.57, -0.04,0.20,0.57
87,0.16,-0.83,10.50, -0.10,0.14,0.37
88,0.47,-0.71,10.67, -0.05,0.09,0.03
89,0.69,0.06,10.83, -0.18,0.14,-0.38
90,0.07,-1.81,10.42, -0.14,0.14,-0.79
91,0.55,-0.99,10.66, -0.03,0.08,-0.71
92,-0.22,-0.62,10.77, 0.03,0.04,-0.99
93,0.49,-0.84,10.72, 0.17,-0.07,-0.94
94,1.40,1.61,11.07, -0.04,0.06,-0.96
