Step,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0,3.14,0.47,10.55, -0.15,0.25,0.18
1,2.30,-0.91,10.67, -0.32,0.41,0.02
2,0.48,-1.61,10.61, -0.09,0.24,0.22
3,0.19,-1.04,10.35, 0.10,0.10,0.06
4,2.94,3.59,10.19, -0.21,0.08,0.07
5,1.45,-1.20,10.30, -0.26,0.16,0.19
6,1.11,-0.46,10.69, -0.20,0.20,0.19
7,0.99,1.37,10.73, -0.36,0.10,0.40
8,-0.11,-2.54,11.47, -0.44,0.09,0.08
9,3.01,-3.50,10.43, -0.05,0.16,-0.14
10,-0.16,0.62,10.64, 0.14,0.11,-0.63
11,1.28,-0.11,10.46, 0.02,0.07,-1.04
12,1.14,0.18,10.74, -0.09,0.00,-0.61
13,1.11,0.12,10.73, -0.19,-0.08,-0.08
14,1.67,-0.42,10.63, -0.23,-0.09,0.12
15,1.83,-0.41,10.63, -0.18,-0.00,-0.10
16,1.65,-0.45,10.70, -0.17,0.05,-0.39
17,1.48,-0.50,10.70, -0.14,0.07,-0.53
18,1.41,-0.68,10.59, -0.13,0.06,-0.49
19,1.46,-0.72,10.62, -0.10,0.05,-0.38
20,1.35,-0.61,10.65, -0.06,0.05,-0.33
21,1.38,-0.13,10.67, -0.05,0.05,-0.15
22,0.98,-0.13,10.67, -0.13,-0.00,-0.02
23,0.93,-0.28,10.67, -0.16,-0.07,0.15
24,1.06,-0.74,10.64, -0.14,-0.13,0.30
25,1.44,-0.67,10.58, -0.08,-0.11,-0.02
26,1.17,-0.98,10.63, 0.05,-0.09,-0.13
27,0.16,-0.35,10.63, 0.07,-0.25,-0.62
28,1.64,0.52,11.64, 0.04,-0.46,-0.63
29,0.69,0.28,10.69, 0.11,-0.58,-0.04
30,2.16,-0.55,10.90, 0.08,-0.62,-0.05
31,2.93,-0.48,10.42, 0.17,-0.54,-0.15
32,2.97,0.00,10.88, 0.20,-0.35,-0.08
33,1.97,0.77,10.50, 0.12,-0.29,0.02
34,2.56,-0.10,11.00, 0.05,-0.44,0.14
35,3.89,-0.60,10.55, 0.11,-0.20,-0.01
36,2.21,0.43,10.11, 0.12,-0.04,-0.08
37,1.02,0.71,10.59, 0.04,-0.05,-0.04
38,2.41,0.33,10.55, -0.02,-0.12,-0.01
39,2.73,0.12,10.52, -0.02,-0.06,-0.01
40,3.00,0.46,9.90, -0.02,0.00,-0.06
41,2.40,0.50,10.52, -0.05,0.09,-0.02
42,1.88,0.51,10.57, -0.12,0.08,0.00
43,1.76,0.29,10.61, -0.17,-0.02,0.01
44,2.21,-0.17,10.58, -0.15,-0.04,0.02
45,2.13,0.04,10.59, -0.13,-0.03,0.01
46,1.99,0.13,10.49, -0.13,-0.04,0.01
47,2.44,-0.15,10.52, -0.13,-0.03,0.02
48,2.42,-0.11,10.47, -0.10,0.02,0.00
49,2.22,0.11,10.48, -0.10,0.03,-0.01
50,1.99,0.09,10.53, -0.12,0.01,0.00
51,2.25,-0.06,10.55, -0.13,0.00,0.00
52,2.21,-0.08,10.58, -0.11,-0.00,0.01
53,2.34,-0.11,10.59, -0.09,0.02,0.00
54,2.00,-0.32,10.27, -0.08,0.02,-0.05
55,1.13,0.38,10.73, -0.10,-0.01,0.12
56,2.11,-0.37,10.31, -0.08,-0.07,0.16
57,1.86,-0.01,10.63, -0.06,-0.09,0.08
58,2.36,0.08,10.54, -0.09,-0.13,0.04
59,2.20,0.01,10.52, -0.06,-0.09,0.06
60,2.55,-0.21,10.53, -0.07,-0.06,-0.00
61,2.92,-0.36,10.30, -0.02,0.03,-0.05
62,2.02,0.22,10.49, -0.03,0.07,-0.03
63,1.60,0.38,10.50, -0.09,-0.01,0.01
64,2.51,-0.29,10.49, -0.12,-0.02,-0.01
65,2.32,-0.18,10.41, -0.09,0.04,-0.01
66,2.32,0.12,10.78, -0.10,0.05,-0.02
67,2.14,0.00,10.66, -0.12,0.04,0.00
68,2.04,-0.05,10.61, -0.13,0.03,0.01
69,1.86,0.42,10.42, -0.12,-0.01,0.02
70,2.21,-0.13,10.57, -0.14,-0.04,0.01
71,2.09,-0.14,10.48, -0.10,-0.02,0.01
72,1.92,-0.04,10.51, -0.10,-0.06,0.02
73,2.02,-0.19,10.59, -0.10,-0.08,0.04
74,2.22,-0.32,10.55, -0.09,-0.09,0.05
75,2.21,-0.08,10.48, -0.08,-0.07,0.04
76,2.51,-0.22,10.47, -0.09,-0.04,0.01
77,2.22,-0.22,10.52, -0.09,-0.01,-0.00
78,2.16,-0.13,10.55, -0.10,-0.03,-0.00
79,3.66,0.54,10.56, -0.09,-0.03,0.08
80,2.46,-0.59,10.74, -0.06,0.03,-0.02
81,1.93,-0.33,10.45, -0.04,0.01,0.01
82,1.53,-0.09,10.42, -0.08,-0.06,-0.02
83,1.77,-0.09,10.40, -0.08,-0.09,-0.00
84,2.22,-0.31,10.52, -0.05,-0.07,0.00
85,2.68,-0.74,10.48, -0.03,-0.04,-0.06
86,3.08,-0.64,10.36, 0.06,0.13,-0.13
87,2.17,0.03,10.56, 0.08,0.19,-0.14
88,1.64,0.43,10.60, 0.03,0.10,-0.05
89,2.57,-0.06,10.49, 0.00,0.08,-0.04
90,1.78,0.14,10.51, -0.02,0.11,-0.04
91,2.04,-0.01,10.69, -0.08,0.06,-0.04
