Step,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0,-0.06,-0.33,10.59, -0.10,-0.07,0.02
1,0.50,-0.22,10.64, 0.05,-0.12,0.19
2,0.40,0.85,10.89, -0.02,-0.15,0.14
3,0.54,0.25,10.86, -0.07,-0.12,0.07
4,1.59,-0.13,10.61, 0.03,-0.15,0.28
5,1.03,0.29,10.71, -0.05,-0.02,0.03
6,0.62,0.30,10.72, -0.05,0.02,0.01
7,0.28,0.74,10.74, -0.04,-0.03,0.03
8,0.41,0.48,10.55, -0.11,-0.05,0.01
9,0.78,-0.05,10.80, -0.09,-0.11,0.03
10,0.93,0.24,10.79, -0.02,-0.05,0.06
11,0.20,0.96,10.86, -0.08,-0.07,0.01
63,1.16,0.76,10.70, -0.09,-0.02,0.01
64,0.36,0.06,10.67, -0.09,-0.02,0.00
65,-0.22,-0.17,10.73, -0.06,-0.10,0.02
66,1.17,-0.35,10.88, -0.22,0.03,-0.01
67,0.61,0.24,10.55, -0.09,-0.01,-0.01
68,0.94,0.25,10.71, -0.05,-0.02,0.00
69,0.91,0.30,10.68, -0.07,0.01,-0.01
70,0.76,0.13,10.69, -0.05,0.01,-0.01
71,0.51,0.08,10.73, -0.05,0.02,-0.01
72,0.80,0.24,10.70, -0.03,0.02,-0.01
73,0.38,0.23,10.66, -0.02,0.01,-0.01
74,0.50,0.46,10.70, -0.05,0.01,-0.01
75,0.63,0.35,10.67, -0.05,-0.01,-0.00
76,0.61,0.25,10.62, -0.05,-0.00,-0.00
77,0.70,0.33,10.73, -0.06,0.00,-0.00
78,0.73,0.32,10.72, -0.03,-0.01,-0.00
79,0.49,0.19,10.74, -0.03,-0.01,-0.00
80,0.69,0.52,10.70, -0.05,-0.01,-0.00
81,0.56,0.46,10.60, -0.05,-0.00,-0.00
82,0.67,0.51,10.79, -0.09,-0.00,-0.00
83,0.18,0.21,10.62, -0.14,-0.03,0.01
84,0.45,-0.13,10.79, -0.10,-0.05,0.01
85,0.81,0.34,10.77, -0.07,-0.05,0.02
86,0.62,0.32,10.69, -0.07,-0.04,0.01
87,0.46,0.06,10.67, -0.05,-0.03,0.01
88,0.59,0.09,10.69, -0.03,-0.07,0.03
89,0.84,0.45,10.65, -0.01,-0.05,0.02
90,0.98,0.59,10.71, -0.05,0.01,0.02
91,0.72,0.14,10.69, -0.05,0.02,-0.01
92,0.36,0.30,10.63, -0.03,0.01,-0.01
93,0.74,0.50,10.71, -0.05,0.00,0.01
94,0.71,0.50,10.61, -0.02,-0.00,0.01
95,0.66,0.58,10.62, -0.05,0.02,-0.01
96,0.02,0.62,10.58, -0.09,0.01,-0.02
97,0.66,0.21,10.89, -0.21,0.02,-0.04
98,0.09,0.28,10.44, -0.19,-0.03,-0.05
99,0.34,-0.19,10.73, -0.13,-0.06,0.01
100,0.53,0.47,10.64, -0.11,-0.07,0.02
101,0.58,0.54,10.68, -0.12,-0.06,0.03
102,0.54,0.01,10.69, -0.11,-0.07,0.02
103,1.10,0.58,10.72, -0.07,-0.05,0.04
104,0.70,0.10,10.66, -0.09,-0.01,0.02
105,0.39,0.11,10.68, -0.07,-0.04,0.03
106,0.80,0.21,10.67, -0.02,-0.05,0.05
107,1.02,0.71,10.71, -0.05,-0.01,0.04
108,0.08,0.28,10.69, -0.04,-0.06,0.04
109,1.08,0.48,10.71, -0.06,-0.09,0.06
110,1.24,0.66,10.70, -0.13,-0.01,0.04
111,0.49,-0.32,10.65, -0.11,0.04,0.01
112,0.50,-0.21,10.57, 0.01,0.01,0.01
113,0.76,0.22,10.87, 0.03,-0.01,0.04
114,0.70,1.01,10.75, -0.01,0.01,0.01
115,0.70,0.61,10.75, -0.08,0.01,-0.00
116,0.74,0.87,10.66, -0.14,0.03,-0.00
117,0.64,0.20,10.70, -0.15,0.03,-0.02
118,0.43,0.01,10.67, -0.10,-0.01,-0.01
119,1.15,0.51,10.63, -0.06,-0.06,0.02
120,0.52,0.70,10.69, -0.07,-0.06,0.02
121,0.32,0.41,10.62, -0.10,-0.08,0.01
122,0.71,0.23,10.62, -0.10,-0.08,0.01
123,0.90,0.32,10.67, -0.08,-0.05,0.01
124,1.20,0.41,10.74, -0.10,-0.00,0.01
125,0.86,0.35,10.45, -0.10,0.04,-0.01
126,0.70,0.03,10.76, -0.10,0.06,-0.02
127,0.61,-0.12,10.63, -0.06,0.03,-0.02
128,0.28,0.65,10.71, -0.05,-0.04,-0.01
129,0.62,0.65,10.74, -0.10,-0.06,-0.00
130,0.81,-0.39,10.58, -0.02,-0.02,0.01
131,0.51,-0.44,10.95, 0.02,0.02,-0.03
132,2.12,-0.48,10.17, 0.07,0.14,-0.09
133,0.79,0.16,11.37, -0.10,0.41,-0.15
134,-3.53,5.93,7.10, -0.11,0.32,0.62
135,-2.11,-0.61,10.43, -0.22,0.21,0.20
136,-1.63,-1.01,10.65, 0.11,-0.30,-0.35
137,10.24,3.33,18.40, 0.07,-0.43,-0.63
138,-0.24,1.94,10.47, -0.58,-0.17,-0.40
139,1.45,0.36,10.94, -0.45,-0.05,0.02
140,0.62,-0.98,10.67, -0.20,-0.09,0.19
141,0.48,-0.80,10.57, -0.19,-0.05,-0.01
142,-0.17,-0.61,10.67, -0.16,-0.06,-0.37
143,-0.51,-1.13,10.79, -0.05,-0.18,-0.70
144,2.76,1.47,7.91, -0.20,0.08,-1.03
145,-0.96,-3.08,11.72, 0.00,0.52,-1.07
146,4.33,4.61,10.11, -0.16,0.05,-0.17
147,2.44,-1.16,10.13, -0.09,0.00,0.14
148,0.00,-1.16,10.58, 0.08,-0.03,0.01
149,-0.19,-0.14,11.14, 0.06,0.10,-0.05
150,1.74,0.47,10.79, 0.06,0.07,-0.03
151,0.91,0.33,10.62, 0.09,0.02,-0.01
152,-0.09,1.47,10.79, 0.01,0.07,-0.01
153,-0.29,1.45,10.64, -0.11,-0.06,0.00
154,1.28,0.36,11.10, -0.22,-0.10,0.02
155,-0.40,-0.21,10.82, -0.21,-0.09,0.03
156,0.10,-0.01,10.70, -0.22,-0.05,0.01
157,0.99,0.30,10.72, -0.21,-0.05,0.01
158,1.48,-1.13,10.38, -0.10,-0.02,0.01
159,0.87,0.19,10.52, 0.05,-0.01,-0.00
160,-0.38,-0.27,10.77, 0.04,0.02,-0.01
161,0.62,0.28,10.71, 0.03,0.06,-0.02
162,1.44,0.52,10.70, 0.04,0.04,-0.02
163,0.39,0.14,10.67, 0.07,0.02,-0.01
164,-0.65,0.60,10.51, -0.05,0.03,-0.02
165,5.49,0.32,10.43, -0.04,0.29,0.27
166,0.07,-2.22,10.39, 0.08,0.21,-0.27
167,1.77,0.15,9.32, -0.07,0.05,-1.72
168,0.59,0.83,11.24, -0.13,-0.27,-3.56
169,1.46,2.82,11.35, -0.98,-0.93,-3.82
170,2.37,-18.70,19.69, -1.20,-0.08,-4.53
171,1.01,1.90,10.86, -0.05,0.28,-4.02
172,-0.68,0.45,14.49, -0.34,0.17,-3.11
173,2.90,-0.09,11.14, -0.07,-0.08,0.29
174,-3.78,-6.92,15.41, 0.13,-0.00,-1.09
175,0.68,1.13,20.28, 0.34,0.29,-2.17
176,-4.13,3.86,19.91, -0.69,-0.42,-2.39
177,-1.08,0.77,16.69, -1.84,-0.83,-2.11
178,-0.50,-5.41,15.66, -1.84,-0.52,-3.05
179,-0.31,-9.15,14.96, -0.97,-0.06,-4.00
180,-0.54,-4.26,13.95, -0.50,0.40,-4.55
181,-1.05,-0.97,12.13, -0.60,0.62,-4.34
182,-1.35,0.73,11.71, -1.19,0.75,-4.32
183,-0.95,4.34,10.54, -1.94,0.53,-4.40
184,0.83,0.12,10.44, -2.62,0.37,-4.94
185,-1.64,-0.70,9.04, -2.13,0.28,-4.19
186,0.95,2.50,8.04, -1.83,0.59,-4.16
187,2.73,4.42,7.12, -1.89,1.19,-3.41
188,-1.29,-0.13,6.77, -1.60,1.36,-3.06
189,-1.45,-6.82,6.67, 0.14,1.40,-1.21
190,-0.09,-3.40,7.16, 1.66,0.99,0.25
191,-0.12,2.97,9.82, 1.59,0.69,0.32
192,-1.00,4.34,11.19, 0.51,0.38,0.34
193,0.45,1.40,10.56, -0.33,0.25,0.16
194,-1.67,-1.81,8.88, -0.55,-0.07,-0.19
195,-0.66,-1.26,9.44, -0.56,-0.89,-0.34
196,1.00,0.37,8.96, -0.59,-1.19,-1.06
197,1.71,-0.24,9.73, -0.76,-1.24,-1.14
198,1.26,-1.64,9.63, -0.76,-1.05,-1.09
199,2.21,-3.63,10.00, -0.48,-0.77,-0.59
200,1.82,2.43,10.06, -0.56,-0.63,-0.61
201,2.93,0.97,8.99, -1.52,-0.38,-0.87
202,2.70,-8.10,9.37, -1.14,-0.07,-1.01
203,1.45,-8.05,8.49, 0.05,0.04,-0.71
204,1.05,0.51,8.99, 0.31,-0.17,-1.18
205,1.83,0.22,9.39, -0.43,-0.63,-1.64
206,3.17,-5.54,8.71, -0.32,-0.99,-1.41
207,3.70,-3.46,8.98, 0.27,-0.75,-0.99
208,2.90,0.69,8.90, 0.12,-0.54,-0.80
209,3.09,-0.93,8.39, -0.02,-0.26,-0.69
210,3.51,-1.48,8.96, 0.08,-0.11,-0.49
211,2.92,-1.77,9.41, 0.10,0.06,-0.07
212,2.02,-1.43,9.25, 0.23,0.09,0.63
213,1.75,-0.30,8.87, 0.43,-0.05,1.24
214,2.14,0.28,9.01, 0.43,-0.27,1.57
215,7.07,-1.03,10.82, 0.38,0.00,1.93
216,9.93,1.88,8.91, 0.94,0.71,4.25
217,3.12,0.13,7.72, 1.66,1.23,6.02
218,3.46,-4.83,7.08, 2.12,1.53,5.70
219,7.66,-3.11,9.53, 2.91,1.84,6.08
220,-1.13,-4.30,9.71, 3.16,1.80,5.62
221,-1.26,-6.92,10.54, 3.05,0.27,4.46
222,6.44,-4.47,8.90, 2.59,0.01,1.90
223,2.16,-0.35,8.41, 2.57,0.29,2.65
224,-4.46,1.58,13.25, 2.73,0.32,3.40
225,-6.63,8.45,13.73, 1.38,-0.39,1.16
226,-3.35,4.00,11.33, -0.38,-1.30,0.72
227,0.15,3.21,9.98, -1.20,-1.34,0.97
228,0.53,-1.52,9.07, -1.28,-1.10,0.39
229,2.21,-3.99,10.00, -0.18,-0.74,-0.72
