Step,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0,0.77,-8.94,20.73, -0.14,0.30,0.00
1,32.95,5.82,7.41, -0.13,1.36,0.95
2,-3.44,0.30,7.52, -0.17,-0.22,-0.11
3,2.58,0.84,10.81, -0.18,-0.01,0.03
4,1.64,0.11,10.12, -0.14,-0.09,0.08
5,0.09,-0.74,10.88, -0.11,-0.07,0.03
6,0.86,-0.62,10.64, -0.08,-0.03,0.01
7,0.73,-0.51,10.68, -0.06,0.00,-0.02
8,0.10,-0.61,10.79, -0.04,0.00,-0.17
9,0.54,0.50,10.83, -0.09,-0.01,-0.05
10,0.50,-0.38,10.80, -0.08,-0.04,-0.11
11,0.11,-0.48,10.67, -0.09,-0.05,-0.04
12,0.48,-0.29,10.71, -0.09,-0.07,-0.01
13,0.82,-0.27,10.70, -0.09,-0.06,-0.02
14,0.75,-0.59,10.69, -0.07,-0.02,-0.01
15,0.28,-0.16,10.72, -0.08,-0.02,-0.01
16,-1.83,0.94,10.77, -0.12,-0.03,-0.10
17,2.86,-0.41,11.02, -0.05,-0.05,0.12
18,-0.50,-1.68,10.71, -0.01,0.03,-0.00
19,-0.60,0.22,10.77, -0.09,0.01,0.02
20,0.90,0.54,10.72, -0.09,-0.07,0.01
21,0.71,-1.57,10.61, -0.06,-0.03,0.01
22,0.49,-0.13,10.74, -0.05,0.04,0.00
23,0.08,0.66,10.83, -0.07,-0.03,0.01
24,0.24,-0.87,10.75, -0.09,-0.07,0.02
25,0.88,-1.09,10.82, -0.06,0.01,0.00
26,-0.00,0.28,10.75, -0.05,0.00,0.00
27,0.35,-0.15,10.79, -0.09,-0.07,0.01
28,1.06,-0.96,10.63, -0.07,-0.02,0.01
29,0.61,0.05,10.80, -0.05,0.02,0.01
30,0.01,0.09,10.73, -0.06,-0.04,0.01
31,0.33,-0.75,10.70, -0.09,-0.05,0.01
32,1.24,-0.23,10.72, -0.06,0.00,0.00
33,0.27,-0.02,10.88, -0.04,-0.00,0.02
34,0.00,-0.34,10.58, -0.08,-0.04,0.01
35,0.86,-0.16,10.66, -0.09,-0.04,0.00
36,0.91,-0.38,10.80, -0.05,-0.00,0.01
37,-0.03,-0.39,10.77, -0.05,-0.00,0.01
38,0.37,0.09,10.73, -0.09,-0.04,0.00
39,1.11,-0.29,10.67, -0.07,-0.02,0.01
40,0.56,-0.34,10.75, -0.04,0.00,0.01
41,-0.03,-0.18,10.72, -0.07,-0.02,0.01
42,0.55,-0.15,10.69, -0.09,-0.04,0.01
43,0.91,-0.50,10.71, -0.06,-0.02,0.01
44,0.29,-0.37,10.68, -0.05,0.00,0.01
45,0.17,-0.01,10.81, -0.07,-0.02,0.01
46,0.58,-0.30,10.74, -0.07,-0.04,0.01
