Step,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0,-1.05,-2.41,10.40, -0.04,-0.05,-0.22
1,1.53,1.45,10.60, -0.02,0.06,-0.10
2,-0.93,-1.25,10.69, -0.12,-0.00,-0.21
3,0.99,0.10,10.83, -0.07,-0.08,-0.10
4,0.79,-1.29,10.22, -0.06,0.02,-0.08
5,0.61,-0.58,10.47, -0.07,0.08,-0.01
6,0.62,-0.38,10.83, -0.06,0.09,0.01
7,0.49,-0.52,10.78, -0.07,0.07,-0.01
8,0.58,-0.54,10.70, -0.07,0.07,-0.04
9,0.60,-0.76,10.81, -0.06,0.04,-0.00
10,0.25,-0.30,10.69, -0.07,-0.00,-0.00
11,0.34,-0.43,10.72, -0.07,-0.06,0.12
12,1.03,-0.66,10.72, -0.05,-0.03,0.09
13,0.79,-0.50,10.74, -0.06,0.02,-0.02
14,-0.20,-0.46,10.66, -0.05,-0.03,0.01
15,-2.48,-1.07,10.55, 0.04,-0.27,0.01
16,-0.09,-1.58,10.44, -0.08,-0.23,-0.10
17,-0.46,-2.33,10.93, 0.21,-0.49,0.34
18,2.21,-3.14,10.39, 0.54,-0.28,0.72
19,0.35,-1.79,10.63, 0.80,-0.40,0.73
20,8.61,4.89,7.87, 0.28,-0.21,-0.77
21,2.29,5.60,10.39, -0.89,0.64,-1.63
22,-0.59,-5.51,11.69, -0.41,0.04,-1.03
23,2.40,-0.46,10.54, 0.05,0.17,0.23
24,3.63,0.47,10.55, -0.08,0.65,0.48
25,-1.23,0.88,10.03, -0.26,0.44,-0.37
26,0.74,0.35,10.67, -0.28,0.20,-0.69
27,-1.52,-0.54,11.46, -0.37,0.11,-0.68
28,-1.81,-0.23,10.88, -0.32,-0.29,-0.44
29,1.26,-3.36,10.95, -0.29,-0.27,-0.64
30,3.12,-3.54,9.99, -0.03,-0.14,-0.18
31,1.19,1.41,11.07, -0.09,-0.04,-0.08
32,-1.00,-1.57,10.55, -0.09,-0.02,-0.50
33,0.04,0.32,10.65, -0.13,-0.22,-0.22
34,0.13,-0.39,10.80, -0.10,-0.30,-0.23
35,1.53,-0.53,10.64, -0.13,-0.24,-0.36
36,1.58,0.38,10.61, -0.15,-0.13,-0.41
37,1.94,0.73,10.80, -0.26,0.05,-0.52
38,0.75,-1.33,10.65, -0.24,-0.01,-0.43
39,1.36,-1.75,10.43, -0.06,0.01,-0.15
40,0.93,-0.81,10.72, -0.01,-0.02,0.01
41,1.30,-0.04,10.75, -0.03,0.02,-0.07
42,1.19,0.08,10.82, -0.10,0.09,-0.16
43,0.69,-0.78,10.83, -0.12,0.11,-0.27
44,0.51,-1.01,10.58, -0.07,0.10,-0.28
45,0.38,-1.25,10.47, 0.01,0.03,-0.18
46,0.09,-1.51,10.54, 0.10,-0.08,0.08
47,-0.07,3.01,11.78, 0.07,-0.11,0.38
48,1.95,-0.13,9.92, -0.19,-0.04,-0.20
49,-0.03,-0.89,10.76, -0.04,-0.04,0.06
50,0.35,-0.45,10.77, -0.08,-0.11,-0.03
51,1.39,-0.40,10.76, -0.06,-0.09,0.03
52,1.06,-0.76,10.58, -0.10,-0.05,-0.03
53,1.02,-0.05,10.69, -0.12,-0.03,-0.02
54,0.91,-1.60,10.47, -0.02,-0.03,-0.07
55,0.79,-0.06,10.38, -0.09,0.04,-0.04
56,0.50,-0.47,10.86, -0.05,-0.01,0.00
57,0.72,-0.43,10.77, -0.09,-0.04,-0.01
58,1.27,-0.52,10.69, -0.07,-0.05,0.02
59,1.25,-0.84,10.67, -0.07,-0.00,-0.00
60,0.97,-0.22,10.69, -0.06,0.02,0.01
61,0.34,-0.57,10.71, -0.07,-0.01,0.01
62,0.77,-0.30,10.75, -0.09,-0.05,0.00
63,1.29,-0.50,10.69, -0.08,-0.04,0.01
64,1.12,-0.77,10.64, -0.07,0.00,0.01
65,0.67,-0.25,10.75, -0.07,0.01,0.00
66,0.52,-0.39,10.69, -0.07,-0.04,0.01
67,0.96,-0.60,10.71, -0.08,-0.05,0.01
68,1.32,-0.44,10.64, -0.07,-0.01,0.01
69,1.02,-0.55,10.71, -0.06,0.01,0.01
70,0.57,-0.35,10.70, -0.07,-0.00,0.00
71,0.70,-0.30,10.72, -0.08,-0.04,0.01
72,1.10,-0.58,10.59, -0.08,-0.04,0.01
73,1.14,-0.54,10.71, -0.07,-0.00,0.01
74,0.75,-0.41,10.74, -0.06,0.00,0.01
75,0.62,-0.50,10.74, -0.07,-0.02,0.01
76,0.93,-0.44,10.65, -0.08,-0.04,0.01
77,1.14,-0.52,10.68, -0.07,-0.02,0.01
78,0.96,-0.47,10.71, -0.07,0.00,0.00
79,0.62,-0.38,10.71, -0.07,-0.02,0.01
80,0.88,-0.51,10.65, -0.08,-0.04,0.01
81,1.22,-0.58,10.74, -0.07,-0.02,0.01
82,1.01,-0.55,10.64, -0.07,0.00,0.01
83,0.84,-0.51,10.74, -0.08,-0.03,0.01
84,1.09,-0.52,10.64, -0.07,-0.02,0.00
85,0.93,-0.41,10.63, -0.08,0.00,-0.00
86,0.66,-0.33,10.75, -0.07,-0.01,0.01
87,0.72,-0.58,10.59, -0.08,-0.03,0.00
88,1.06,-0.52,10.72, -0.08,-0.03,0.01
89,1.10,-0.53,10.62, -0.06,-0.01,0.01
90,0.85,-0.42,10.74, -0.07,0.00,0.00
91,0.82,-0.28,10.69, -0.07,-0.02,0.01
92,0.96,-0.36,10.80, -0.07,-0.03,0.01
93,0.94,-0.51,10.65, -0.08,-0.01,0.01
94,0.89,-0.50,10.63, -0.07,-0.01,0.00
95,0.70,-0.63,10.68, -0.07,-0.03,0.01
96,0.93,-0.59,10.70, -0.07,-0.02,0.01
97,0.94,-0.54,10.70, -0.06,-0.01,0.01
98,0.81,-0.35,10.58, -0.07,-0.00,0.01
99,0.68,-0.34,10.70, -0.07,-0.01,0.01
100,0.78,-0.44,10.70, -0.08,-0.03,0.01
101,1.02,-0.58,10.70, -0.08,-0.03,0.01
102,1.06,-0.64,10.63, -0.07,-0.01,0.01
103,0.87,-0.63,10.62, -0.07,-0.01,0.01
104,0.78,-0.39,10.67, -0.07,-0.02,0.01
105,0.90,-0.47,10.63, -0.07,-0.02,0.01
106,0.98,-0.44,10.68, -0.07,-0.02,0.01
107,0.88,-0.46,10.71, -0.07,-0.01,0.01
108,0.94,-0.51,10.62, -0.07,-0.02,0.01
109,1.06,-0.53,10.63, -0.07,-0.02,0.01
110,1.09,-0.42,10.72, -0.07,-0.01,0.01
111,0.87,-0.43,10.70, -0.07,-0.01,0.01
112,0.77,-0.44,10.68, -0.07,-0.02,0.01
113,0.98,-0.45,10.67, -0.08,-0.03,0.00
114,0.85,-0.36,10.62, -0.07,-0.01,0.01
115,0.75,-0.60,10.67, -0.07,-0.02,0.01
116,0.88,-0.45,10.74, -0.08,-0.02,0.01
117,1.00,-0.54,10.73, -0.07,-0.02,0.01
118,0.84,-0.35,10.72, -0.07,-0.01,0.01
119,0.84,-0.52,10.64, -0.07,-0.02,0.01
120,0.93,-0.45,10.78, -0.07,-0.02,0.01
121,0.96,-0.50,10.67, -0.07,-0.01,0.01
122,0.82,-0.45,10.66, -0.07,-0.01,0.01
123,0.76,-0.45,10.59, -0.07,-0.02,0.01
124,0.92,-0.46,10.66, -0.07,-0.02,0.01
125,0.94,-0.53,10.71, -0.07,-0.02,0.01
126,0.93,-0.50,10.72, -0.07,-0.01,0.01
