Step,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0,5.53,-5.85,-3.94, -0.11,0.17,-0.10
1,4.24,-7.15,-4.80, 0.02,-0.08,-0.46
2,5.06,-6.52,-4.46, -0.18,-0.06,0.40
3,5.06,-6.52,-4.58, -0.11,0.08,-0.51
4,4.87,-6.83,-4.69, -0.14,0.08,0.18
5,5.39,-6.48,-4.41, -0.13,0.08,0.10
6,4.78,-6.60,-4.47, -0.14,0.13,-0.29
7,4.43,-6.87,-4.65, -0.06,-0.13,0.19
8,5.39,-6.43,-4.76, -0.09,0.08,0.22
9,5.35,-6.54,-5.04, -0.06,0.21,-0.28
10,5.06,-6.90,-4.49, 0.07,-0.05,0.08
11,5.16,-6.77,-4.39, 0.02,0.15,0.32
12,4.77,-6.52,-4.32, -0.12,0.20,-0.04
13,4.70,-6.66,-4.43, -0.06,-0.21,-0.28
14,4.90,-6.89,-4.87, -0.00,-0.09,0.39
15,5.32,-5.91,-4.34, -0.14,0.16,0.04
16,4.88,-6.57,-4.82, -0.11,0.05,-0.58
17,4.98,-7.11,-4.97, 0.04,-0.07,0.03
18,5.01,-6.50,-4.06, 0.09,-0.18,0.46
19,4.82,-6.14,-3.60, -0.12,-0.23,0.24
20,6.71,-9.41,-5.40, 0.10,0.06,0.60
21,5.95,-7.35,-5.60, -0.04,0.34,0.56
22,3.80,-6.23,-3.45, 0.21,-0.51,-0.26
23,3.95,-7.05,-5.64, 0.15,-0.02,0.35
24,4.85,-7.12,-3.63, 0.11,0.50,0.55
25,5.97,-7.33,-3.17, 0.06,-0.44,0.65
26,7.56,-6.11,-0.68, -0.33,-0.53,0.83
27,5.81,-3.19,0.65, -0.73,0.50,-0.30
28,6.69,-9.83,-7.51, -0.93,3.18,-2.52
29,1.07,-9.29,-10.33, -0.49,1.02,2.91
30,2.84,-2.94,-2.28, 0.83,-2.83,1.12
31,2.11,-7.72,-3.34, -0.05,0.82,-2.94
32,1.41,-7.96,-9.24, -0.96,2.68,0.64
33,6.69,-7.13,-5.57, 0.32,-1.63,0.20
34,4.02,-7.82,-3.40, 0.00,-0.62,-1.71
35,5.83,-4.69,-0.33, -0.25,0.22,1.22
36,8.54,-6.00,-5.42, -0.71,1.13,-0.86
37,4.83,-7.54,-6.17, -0.40,-0.06,0.26
38,4.21,-5.35,-3.11, -0.21,-0.53,0.23
39,5.60,-7.54,-4.16, -0.35,0.69,0.13
40,5.52,-7.26,-4.64, -0.37,0.74,0.33
41,4.75,-7.39,-3.84, -0.04,-0.07,0.43
42,5.25,-6.44,-4.80, -0.39,0.71,0.32
43,4.28,-5.89,-6.90, -0.19,0.55,-0.06
44,3.58,-6.00,-4.32, -0.18,-0.32,-0.20
45,5.88,-6.12,-4.21, -0.20,-0.22,0.26
46,5.78,-6.45,-4.47, 0.07,0.13,0.59
47,6.41,-6.45,-5.15, -0.30,0.39,0.64
48,4.96,-7.07,-5.02, 0.09,-0.15,-0.81
49,4.27,-7.68,-7.87, 0.37,-0.21,1.33
50,4.81,-2.97,-1.73, 0.10,-0.28,0.65
